"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1,C4,C16,C18,C226,C227,C230,C231","8","1uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C2,C3,C11,C17,C20,C21,C22,C23,C204,C205,C206,C207,C208,C209,C210,C213,C217,C218,C223,C224,C225,C228,C229","23","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C5,C6,C7,C8,C12,C13,C14,C15,C212,C214,C215,C216,C219,C220,C221,C222","16","1uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"C19,C211","2","1nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C101,C102,C103,C104,C105,C106","6","470uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm",""
"C201,C202","2","220uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"C203","1","10uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"D1,D3,D208,D209","4","ES1D","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA_Handsoldering",""
"D2,D205","2","5.0SMDJ70A","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMC_Handsoldering",""
"D4,D5,D6,D7,D203,D204,D206,D207","8","1N4148W","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SOD-123",""
"D201,D202","2","SS34","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA_Handsoldering",""
"F101","1","70A","","","","","${EXCLUDE_FROM_POS_FILES}","",""
"J101","1","+60V IN","","","","","${EXCLUDE_FROM_POS_FILES}","",""
"J201","1","RAILS IN","","","","","${EXCLUDE_FROM_POS_FILES}","",""
"J202","1","CONTROL","","","","","${EXCLUDE_FROM_POS_FILES}","",""
"J203","1","YOKE 1","","","","","${EXCLUDE_FROM_POS_FILES}","",""
"J204","1","YOKE 2","","","","","${EXCLUDE_FROM_POS_FILES}","",""
"Q1,Q2,Q3,Q4,Q201,Q202,Q203,Q204","8","IRF100B201","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.infineon.com/assets/row/public/documents/24/49/infineon-irf100b201-datasheet-en.pdf?fileId=5546d462533600a4015355f5c82f1b41"
"R1,R2,R9,R10,R214,R215,R226,R227","8","10R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R3,R4,R6,R7,R14,R16,R17,R18,R19,R201,R202,R203,R204,R216,R217,R218,R221,R222,R223,R224,R225,R230","22","10k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R5,R8,R231,R232","4","1R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R11,R219","2","1m","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_Shunt_Vishay_WSK2512_6332Metric_T2.66mm",""
"R12,R13,R210,R211","4","10R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R15,R220","2","24k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R20,R21,R22,R23,R212,R213,R228,R229","8","4.7R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R101","1","22k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R205,R206,R207,R208,R209","5","100R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U1,U2,U206,U207","4","IR2184","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.infineon.com/assets/row/public/documents/24/49/infineon-ir21844s-datasheet-en.pdf"
"U3,U203","2","INA240A1D","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina240.pdf"
"U4,U204","2","LM393","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm393.pdf"
"U5,U205","2","74HC74","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT74.pdf"
"U201,U202","2","74LVC2G17","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
