### COMPONENT INVENTORY (200)
sheet | ref | value | lib_id | footprint | extra_fields
BUS | C101 | 470uF | Device:C_Polarized | Capacitor_THT:CP_Radial_D16.0mm_P7.50mm | MPN=100ZLH470MEFC16X31.5 Voltage=100V
BUS | C102 | 470uF | Device:C_Polarized | Capacitor_THT:CP_Radial_D16.0mm_P7.50mm | MPN=100ZLH470MEFC16X31.5 Voltage=100V
BUS | C103 | 470uF | Device:C_Polarized | Capacitor_THT:CP_Radial_D16.0mm_P7.50mm | MPN=100ZLH470MEFC16X31.5 Voltage=100V
BUS | C104 | 470uF | Device:C_Polarized | Capacitor_THT:CP_Radial_D16.0mm_P7.50mm | MPN=100ZLH470MEFC16X31.5 Voltage=100V
BUS | C105 | 470uF | Device:C_Polarized | Capacitor_THT:CP_Radial_D16.0mm_P7.50mm | MPN=100ZLH470MEFC16X31.5 Voltage=100V
BUS | C106 | 470uF | Device:C_Polarized | Capacitor_THT:CP_Radial_D16.0mm_P7.50mm | MPN=100ZLH470MEFC16X31.5 Voltage=100V
BUS | J101 | +60V IN | Connector_Generic:Conn_01x02 | lev_lib:389690002 | MPN=38969-0002
BUS | R101 | 22k | Device:R | Resistor_SMD:R_2512_6332Metric | Power=1W
CH1 | C1 | 1uF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH1 | C11 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH1 | C12 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH1 | C13 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH1 | C14 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH1 | C15 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH1 | C16 | 1uF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH1 | C17 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH1 | C18 | 1uF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH1 | C19 | 1nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=50V
